time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,action_offload,action_prb,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,s_next8,done
81.0,2178,0.0,0.38580246913580246,0.0,12.0,120000.0,0.0,0.0,0.0,0.948,2,100,0.0024752475247524753,-3.4764337499999995,0.10637165127415688,0.7645462435330026,0.0,12.0,120000.0,0.0,0.0,0.0,0.913,1
88.0,1270,0.0,0.5681818181818181,12.5,12.0,120000.0,20000.0,2.0,0.0,0.928,0,0,0.0024752475247524753,9.794982916666667,0.10637165127415688,0.7645462435330026,12.5,12.0,120000.0,20000.0,2.0,0.0,0.913,0
54.0,814,0.0,0.0,25.0,12.0,120000.0,20000.0,3.0,0.0,0.994,3,100,0.0024752475247524753,-3.92935,0.15796123020627315,0.7568975614050588,12.5,12.0,120000.0,20000.0,2.0,0.0,0.913,1
53.0,2164,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.995,3,100,0.0024752475247524753,-3.93445,0.20842015335346464,0.8141412240369712,0.0,12.0,120000.0,0.0,0.0,0.0,0.911,1
69.0,2172,0.0,0.09057971014492754,0.0,12.0,120000.0,0.0,0.0,0.0,0.979,2,100,0.0024752475247524753,-3.93445,0.20833333333333334,0.87890625,0.0,12.0,120000.0,0.0,0.0,0.0,0.911,1
71.0,2173,0.0,0.22007042253521128,0.0,12.0,120000.0,0.0,0.0,0.0,0.974,2,100,0.0024752475247524753,-3.93445,0.20833333333333334,0.87890625,0.0,12.0,120000.0,0.0,0.0,0.0,0.911,1
90.0,832,0.0,0.6597222222222222,12.5,12.0,120000.0,20000.0,2.0,0.0,0.925,0,0,0.0024752475247524753,9.794932916666667,0.20831161250790411,0.8788146152677205,0.0,12.0,120000.0,20000.0,1.0,0.0,0.907,0
90.0,1271,0.0,0.6597222222222222,12.5,12.0,120000.0,20000.0,2.0,0.0,0.925,0,0,0.0024752475247524753,9.794932916666667,0.20831161250790411,0.8788146152677205,0.0,12.0,120000.0,20000.0,1.0,0.0,0.907,0
87.0,1719,0.0,0.574712643678161,0.0,12.0,120000.0,0.0,0.0,1.0,0.932,2,100,0.0024752475247524753,9.648733333333334,0.2061855670103093,0.9020618556701031,0.0,12.0,120000.0,0.0,0.0,1.0,0.908,0
73.0,2174,0.0,0.2568493150684931,0.0,12.0,120000.0,0.0,0.0,0.0,0.969,2,100,0.0024752475247524753,-3.93475,0.2061642917055673,0.9019687762118569,0.0,12.0,120000.0,0.0,0.0,0.0,0.905,1
