time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,action_offload,action_prb_ratio,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,s_next8,done
77.0,6,0.0,0.040584415584415584,0.0,8.0,80000.0,0.0,0.0,1.0,0.976,1,0.7035766839981079,1.0,-3.8289589583333328,0.0,0.20526947356828013,0.0,8.0,80000.0,0.0,0.0,1.0,0.95,1
86.0,830,0.0,0.14534883720930233,37.5,12.0,120000.0,20000.0,4.0,0.0,0.961,0,0.0,1.0,9.796832916666666,0.0,0.2037821754393897,12.5,12.0,120000.0,20000.0,2.0,0.0,0.95,0
86.0,1269,0.0,0.14534883720930233,37.5,12.0,120000.0,20000.0,4.0,0.0,0.961,0,0.0,1.0,9.796582916666665,0.0,0.2037821754393897,25.0,12.0,120000.0,20000.0,3.0,0.0,0.95,0
79.0,2177,0.0,0.03955696202531646,0.0,12.0,120000.0,0.0,0.0,0.0,0.971,2,0.5386000871658325,1.0,-3.5158333333333336,0.0,0.20161290322580644,0.0,12.0,120000.0,0.0,0.0,0.0,0.95,1
54.0,814,0.0,0.0,37.5,12.0,120000.0,20000.0,4.0,0.0,1.0,3,0.1,1.0,-3.91525,0.052653743402091044,0.23036012738414835,25.0,12.0,120000.0,20000.0,3.0,0.0,0.945,1
91.0,1721,0.0,0.20604395604395603,0.0,12.0,120000.0,0.0,0.0,1.0,0.952,1,1.0,1.0,9.900633333333333,0.05263157894736842,0.23026315789473684,0.0,12.0,120000.0,0.0,0.0,1.0,0.946,0
75.0,451,0.0,0.0,0.0,25.0,400000.0,20000.0,1.0,1.0,0.98,0,0.0,1.0,9.64705,0.05263157894736842,0.23026315789473684,12.5,25.0,400000.0,20000.0,2.0,1.0,0.946,0
83.0,2179,0.0,0.07530120481927711,0.0,12.0,120000.0,0.0,0.0,0.0,0.967,2,0.5959606170654297,1.0,-3.4744666666666664,0.052083333333333336,0.26041666666666663,0.0,12.0,120000.0,0.0,0.0,0.0,0.944,1
90.0,1271,0.0,0.1736111111111111,25.0,12.0,120000.0,20000.0,3.0,0.0,0.953,0,0.0,1.0,9.796032916666666,0.05207790312697603,0.26038951563488016,37.5,12.0,120000.0,20000.0,4.0,0.0,0.944,0
55.0,2165,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.999,3,0.1,1.0,-3.9328,0.10313530289446132,0.2578382572361534,0.0,12.0,120000.0,0.0,0.0,0.0,0.944,1
56.0,815,0.0,0.0,25.0,12.0,120000.0,20000.0,3.0,0.0,0.998,3,0.1,1.0,-3.9279,0.15312370833771863,0.25520618056286437,25.0,12.0,120000.0,20000.0,3.0,0.0,0.942,1
92.0,833,0.0,0.20380434782608697,12.5,12.0,120000.0,20000.0,2.0,0.0,0.95,0,0.0,1.0,9.796382916666667,0.1530455919757584,0.286960484954547,12.5,12.0,120000.0,20000.0,2.0,0.0,0.941,0
92.0,1272,0.0,0.20380434782608697,25.0,12.0,120000.0,20000.0,3.0,0.0,0.95,0,0.0,1.0,9.795882916666667,0.1530455919757584,0.286960484954547,37.5,12.0,120000.0,20000.0,4.0,0.0,0.941,0
57.0,2166,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.997,3,0.1,1.0,-3.93295,0.20210183891452718,0.2842057109735539,0.0,12.0,120000.0,0.0,0.0,0.0,0.941,1
89.0,1720,0.0,0.17556179775280897,0.0,12.0,120000.0,0.0,0.0,1.0,0.955,2,0.3859734535217285,1.0,9.650433333333334,0.20202020202020202,0.28409090909090906,0.0,12.0,120000.0,0.0,0.0,1.0,0.942,0
99.0,1725,0.20202020202020202,0.28409090909090906,0.0,12.0,120000.0,0.0,0.0,1.0,0.942,3,0.0,1.0,-4.93295,0.20202020202020202,0.28409090909090906,0.0,12.0,120000.0,0.0,0.0,1.0,0.941,1
58.0,816,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.996,3,0.1,1.0,-3.93295,0.25010001499599693,0.28136251687049657,12.5,12.0,120000.0,20000.0,2.0,0.0,0.941,1
75.0,2175,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.98,2,1.0,1.0,-3.93295,0.24997497750475178,0.28122184969284575,0.0,12.0,120000.0,0.0,0.0,0.0,0.941,1
