time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,action_offload,action_prb,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,done
50.0,11973,0.33333333333333337,0.16666666666666669,0.0,12.0,120000.0,0.0,0.0,1.0,2,10,0.022727272727272728,-4.859999999999999,0.33333333333333337,0.16666666666666669,0.0,12.0,120000.0,0.0,0.0,1.0,1
46.0,1353,0.18115942028985507,0.1358695652173913,0.0,8.0,80000.0,0.0,0.0,6.0,2,4,0.022727272727272728,-5.130833333333333,0.33112582781456956,0.16556291390728478,0.0,8.0,80000.0,0.0,0.0,6.0,1
51.0,2251,0.32679738562091504,0.16339869281045752,0.0,8.0,80000.0,0.0,0.0,5.0,2,10,0.022727272727272728,-4.96,0.32679738562091504,0.16339869281045752,0.0,8.0,80000.0,0.0,0.0,5.0,1
51.0,5227,0.32679738562091504,0.16339869281045752,0.0,12.0,120000.0,20000.0,1.0,6.0,3,8,0.022727272727272728,-4.8,0.32679738562091504,0.16339869281045752,0.0,12.0,120000.0,20000.0,1.0,6.0,1
51.0,5675,0.32679738562091504,0.16339869281045752,0.0,12.0,120000.0,20000.0,1.0,2.0,2,1,0.022727272727272728,-4.8,0.32679738562091504,0.16339869281045752,0.0,12.0,120000.0,20000.0,1.0,2.0,1
51.0,7026,0.32679738562091504,0.16339869281045752,12.5,12.0,120000.0,20000.0,2.0,4.0,2,1,0.022727272727272728,-4.8,0.32679738562091504,0.16339869281045752,12.5,12.0,120000.0,20000.0,2.0,4.0,1
51.0,7474,0.32679738562091504,0.16339869281045752,12.5,12.0,120000.0,20000.0,2.0,2.0,2,9,0.022727272727272728,-4.8,0.32679738562091504,0.16339869281045752,12.5,12.0,120000.0,20000.0,2.0,2.0,1
51.0,7925,0.32679738562091504,0.16339869281045752,0.0,12.0,120000.0,20000.0,1.0,5.0,2,9,0.022727272727272728,-4.8,0.32679738562091504,0.16339869281045752,0.0,12.0,120000.0,20000.0,1.0,5.0,1
52.0,1356,0.3205128205128205,0.16025641025641024,0.0,8.0,80000.0,0.0,0.0,6.0,2,1,0.022727272727272728,-4.8,0.3205128205128205,0.16025641025641024,0.0,8.0,80000.0,0.0,0.0,6.0,1
52.0,4143,0.3205128205128205,0.16025641025641024,0.0,25.0,400000.0,0.0,0.0,0.0,2,1,0.022727272727272728,-4.8,0.3205128205128205,0.16025641025641024,0.0,25.0,400000.0,0.0,0.0,0.0,1
52.0,4863,0.3205128205128205,0.16025641025641024,0.0,25.0,400000.0,0.0,0.0,5.0,3,9,0.022727272727272728,-4.8,0.3205128205128205,0.16025641025641024,0.0,25.0,400000.0,0.0,0.0,5.0,1
52.0,8824,0.3205128205128205,0.16025641025641024,0.0,12.0,120000.0,0.0,0.0,2.0,3,9,0.022727272727272728,-4.8,0.3205128205128205,0.16025641025641024,0.0,12.0,120000.0,0.0,0.0,2.0,1
52.0,11974,0.3205128205128205,0.16025641025641024,0.0,12.0,120000.0,0.0,0.0,1.0,3,2,0.022727272727272728,-4.8,0.3205128205128205,0.16025641025641024,0.0,12.0,120000.0,0.0,0.0,1.0,1
49.0,2250,0.3401360544217687,0.17006802721088435,0.0,8.0,80000.0,0.0,0.0,5.0,1,5,0.022727272727272728,-5.008333333333333,0.3184713375796179,0.15923566878980894,0.0,8.0,80000.0,0.0,0.0,5.0,1
47.0,7472,0.1773049645390071,0.13297872340425532,0.0,12.0,120000.0,20000.0,1.0,2.0,1,4,0.022727272727272728,0.95,0.3144654088050315,0.15723270440251574,0.0,12.0,120000.0,20000.0,2.0,2.0,0
53.0,2252,0.3144654088050315,0.15723270440251574,0.0,8.0,80000.0,0.0,0.0,5.0,2,4,0.022727272727272728,-4.8,0.3144654088050315,0.15723270440251574,0.0,8.0,80000.0,0.0,0.0,5.0,1
53.0,3420,0.3144654088050315,0.15723270440251574,0.0,25.0,400000.0,20000.0,1.0,2.0,2,4,0.022727272727272728,-4.8,0.3144654088050315,0.15723270440251574,0.0,25.0,400000.0,20000.0,1.0,2.0,1
53.0,5228,0.3144654088050315,0.15723270440251574,0.0,12.0,120000.0,20000.0,1.0,6.0,2,3,0.022727272727272728,-4.8,0.3144654088050315,0.15723270440251574,0.0,12.0,120000.0,20000.0,1.0,6.0,1
53.0,5676,0.3144654088050315,0.15723270440251574,0.0,12.0,120000.0,20000.0,1.0,2.0,2,3,0.022727272727272728,-4.8,0.3144654088050315,0.15723270440251574,0.0,12.0,120000.0,20000.0,1.0,2.0,1
53.0,7027,0.3144654088050315,0.15723270440251574,12.5,12.0,120000.0,20000.0,2.0,4.0,1,7,0.022727272727272728,-4.8,0.3144654088050315,0.15723270440251574,12.5,12.0,120000.0,20000.0,2.0,4.0,1
53.0,7926,0.3144654088050315,0.15723270440251574,0.0,12.0,120000.0,20000.0,1.0,5.0,1,10,0.022727272727272728,-4.8,0.3144654088050315,0.15723270440251574,0.0,12.0,120000.0,20000.0,1.0,5.0,1
54.0,1357,0.30864197530864196,0.15432098765432098,0.0,8.0,80000.0,0.0,0.0,6.0,1,10,0.022727272727272728,-4.8,0.30864197530864196,0.15432098765432098,0.0,8.0,80000.0,0.0,0.0,6.0,1
54.0,8825,0.30864197530864196,0.15432098765432098,0.0,12.0,120000.0,0.0,0.0,2.0,1,5,0.022727272727272728,-4.8,0.30864197530864196,0.15432098765432098,0.0,12.0,120000.0,0.0,0.0,2.0,1
54.0,11975,0.30864197530864196,0.15432098765432098,0.0,12.0,120000.0,0.0,0.0,1.0,1,5,0.022727272727272728,-4.8,0.30864197530864196,0.15432098765432098,0.0,12.0,120000.0,0.0,0.0,1.0,1
49.0,7025,0.3401360544217687,0.17006802721088435,0.0,12.0,120000.0,20000.0,1.0,4.0,0,0,0.022727272727272728,0.79,0.30303030303030304,0.15151515151515152,0.0,12.0,120000.0,20000.0,2.0,4.0,0
55.0,4144,0.30303030303030304,0.15151515151515152,0.0,25.0,400000.0,0.0,0.0,0.0,3,5,0.022727272727272728,-4.96,0.30303030303030304,0.15151515151515152,0.0,25.0,400000.0,0.0,0.0,0.0,1
55.0,4864,0.30303030303030304,0.15151515151515152,0.0,25.0,400000.0,0.0,0.0,5.0,1,10,0.022727272727272728,-4.859999999999999,0.30303030303030304,0.15151515151515152,0.0,25.0,400000.0,0.0,0.0,5.0,1
55.0,5229,0.30303030303030304,0.15151515151515152,0.0,12.0,120000.0,20000.0,1.0,6.0,1,10,0.022727272727272728,-4.859999999999999,0.30303030303030304,0.15151515151515152,0.0,12.0,120000.0,20000.0,2.0,6.0,1
55.0,5677,0.30303030303030304,0.15151515151515152,0.0,12.0,120000.0,20000.0,1.0,2.0,1,10,0.022727272727272728,-4.859999999999999,0.30303030303030304,0.15151515151515152,0.0,12.0,120000.0,20000.0,1.0,2.0,1
55.0,7028,0.30303030303030304,0.15151515151515152,0.0,12.0,120000.0,20000.0,2.0,4.0,1,10,0.022727272727272728,-4.859999999999999,0.30303030303030304,0.15151515151515152,0.0,12.0,120000.0,20000.0,2.0,4.0,1
55.0,7927,0.30303030303030304,0.15151515151515152,0.0,12.0,120000.0,20000.0,1.0,4.0,3,2,0.022727272727272728,-4.92,0.30303030303030304,0.15151515151515152,0.0,12.0,120000.0,20000.0,1.0,4.0,1
55.0,11520,0.30303030303030304,0.15151515151515152,0.0,12.0,120000.0,0.0,0.0,2.0,1,9,0.022727272727272728,-4.82,0.30303030303030304,0.15151515151515152,0.0,12.0,120000.0,0.0,0.0,2.0,1
56.0,1358,0.5952380952380952,0.1488095238095238,0.0,8.0,80000.0,0.0,0.0,6.0,1,9,0.022727272727272728,-4.92,0.5952380952380952,0.1488095238095238,0.0,8.0,80000.0,0.0,0.0,6.0,1
56.0,3421,0.5952380952380952,0.1488095238095238,0.0,25.0,400000.0,20000.0,2.0,2.0,2,9,0.022727272727272728,-4.92,0.5952380952380952,0.1488095238095238,0.0,25.0,400000.0,20000.0,2.0,2.0,1
56.0,11976,0.5952380952380952,0.1488095238095238,0.0,12.0,120000.0,0.0,0.0,1.0,1,4,0.022727272727272728,-4.84,0.5952380952380952,0.1488095238095238,0.0,12.0,120000.0,0.0,0.0,1.0,1
57.0,3784,0.5847953216374269,0.14619883040935672,37.5,25.0,400000.0,20000.0,4.0,2.0,3,3,0.022727272727272728,-4.9,0.5847953216374269,0.14619883040935672,37.5,25.0,400000.0,20000.0,4.0,2.0,1
57.0,5230,0.5847953216374269,0.14619883040935672,0.0,12.0,120000.0,20000.0,2.0,6.0,2,3,0.022727272727272728,-4.82,0.5847953216374269,0.14619883040935672,0.0,12.0,120000.0,20000.0,2.0,6.0,1
57.0,5678,0.5847953216374269,0.14619883040935672,0.0,12.0,120000.0,20000.0,1.0,2.0,2,3,0.022727272727272728,-4.82,0.5847953216374269,0.14619883040935672,0.0,12.0,120000.0,20000.0,1.0,2.0,1
57.0,7029,0.5847953216374269,0.14619883040935672,0.0,12.0,120000.0,20000.0,2.0,4.0,2,8,0.022727272727272728,-4.82,0.5847953216374269,0.14619883040935672,0.0,12.0,120000.0,20000.0,2.0,4.0,1
57.0,7477,0.5847953216374269,0.14619883040935672,12.5,12.0,120000.0,20000.0,2.0,3.0,2,8,0.022727272727272728,-4.82,0.5847953216374269,0.14619883040935672,12.5,12.0,120000.0,20000.0,2.0,3.0,1
57.0,9270,0.5847953216374269,0.14619883040935672,0.0,12.0,120000.0,0.0,0.0,7.0,1,8,0.022727272727272728,-4.82,0.5847953216374269,0.14619883040935672,0.0,12.0,120000.0,0.0,0.0,7.0,1
57.0,11521,0.5847953216374269,0.14619883040935672,0.0,12.0,120000.0,0.0,0.0,2.0,2,6,0.022727272727272728,-4.82,0.5847953216374269,0.14619883040935672,0.0,12.0,120000.0,0.0,0.0,2.0,1
55.0,2253,0.30303030303030304,0.15151515151515152,0.0,8.0,80000.0,0.0,0.0,5.0,1,5,0.022727272727272728,-4.965833333333333,0.6686046511627907,0.14534883720930233,0.0,8.0,80000.0,0.0,0.0,5.0,1
